cmtid,itemid,rating_star,comment,modelid,model_name,filter,anonymous,origin_region,region,ctime,submit_time
14822174017,22489557572,5,Giao hàng nhanh đóng gói cẩn thận hàng tốt chất lượng im dẹp đẹp mang dừa vận,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712483798,1712483798
14821385703,22489557572,5,Shop giao hàng nhanh đóng gói cẩn thận Sẽ ủng hộ shop tiếp lần sau,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712479980,1712479980
14913703560,22489557572,5,"Trời ơi ,xinh suất sắc nha,đế cao,cứng ,chắc chắn ,đẹp ,nói chung ưng,sẽ đặt thêm nữa ,tui size 41 mà đặt hờ thêm 1size là size 42 mà ai dè vừa luôn,hơi rộng khoảng 1cm thoy hà ,bonus thêm anh shipper nói chuyện ấm áp quá chừng luôn,giao hàng nhanh",184956190800,"Full đen,Size 43",1,False,vn,VN,1713409596,1713409596
14713166606,22489557572,5,Quá tuyệt vời trắng full size 38 đẹp lắm nha mng nên mua nha shop cũng tư vấn nhiệt tình nữa mặc dù có bị giao lộn màu nhưng shop chịu trả hàng quá tuyệt vời cho shop 5*,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1711791727,1711791727
14913582297,22489557572,5,"Đúng với mô tả: dép đẹp lắm mn ạ , quá tuyệt vời luôn ạ , đóng gói cẩn thận💕 , lần sau ủng hộ tiếp ạ💋💋💋",184956190800,"Full đen,Size 43",1,False,vn,VN,1713408691,1713408691
14816994618,22489557572,5,Hàng oke đẹp giá rẻ đế làm bằng cao su cứng bên trên làm bằng da đi êm chân nên mua nha ae,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712457500,1712457500
14944858910,22489557572,5,Rất đẹp ạ đi vừa các bạn nên lùi size nhé đi rất đẹp luôn lại còn săn dc giá rẻ,184956190789,"Quai trắng đế đen,Size 41",1,False,vn,VN,1713667496,1713667496
14913877841,22489557572,5,"Chất lượng tốt đẹp phù hợp với mọi chân mọi lứa tuổi mọi, người nên mua 1 lần nha 😁😁😁",184956190800,"Full đen,Size 43",1,False,vn,VN,1713410852,1713410852
15043305302,22489557572,5,Dép đẹp lắm không có gì để chê còn rẻ nữa shop cũng rất nhiệt tình,184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714532846,1714532846
15168770025,22489557572,5,"Giao hàng nhanh, đúng size đi vừa đẹp,nói chung là ưng lắm luôn,thank shop",184956190805,"Full đen,Size 41",1,False,vn,VN,1715505741,1715505741
14812679986,22489557572,5,"Giao hàng nhanh, đúng size đi vừa đẹp,nói chung là ưng lắm luôn,thank shop",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712411440,1712411440
